Artist,Album,Listed,Spotify URL,Spotify Streamable,Rdio URL,Rdio Streamable
Anthony Jeselnik,Shakespeare,1,spotify:album:59B3qbzgjlU2ISSdeDCy31,True,http://rdio.com/artist/Anthony_Jeselnik/album/Shakespeare/,True
Manuel G̦ttsching,E2-E4,1,,False,,False
John Coltrane,Giant Steps,1,spotify:album:5eKawYY1ux6leBaUyj02lv,True,http://rdio.com/artist/John_Coltrane/album/Giant_Steps_1/,True
TORO Y MOI,CAUSERS OF THIS,1,,False,,False
Jenny Wilson,Hardships!,1,spotify:album:7cfyoKTjKQ2tK0Kt0uaghc,True,http://rdio.com/artist/Jenny_Wilson/album/Hardships!/,True
Blue Hawaii,Blossoming Summer,1,,False,,False
Steve Gulley & Tim Stafford,Dogwood Winter,1,,False,,False
Action Beat,Noise band from Bletchley,1,,False,,False
M.I.A.,KALA,1,,False,,False
UFOmammut,Eve,1,,False,,False
Trashcan Sinatras,In the Music,1,,False,,False
THE ROOTS,How I Got Over,1,,False,http://rdio.com/artist/The_Roots/album/How_I_Got_Over_1/,True
Erik wollo,Gateway,1,,False,http://rdio.com/artist/Erik_W%C3%B8llo/album/Gateway/,True
SUN CITY GIRLS,Funeral Mariachi,1,,False,,False
Down To Earth,Prisms,1,spotify:album:3wh3VhumVjbyOGK6skmC0c,True,http://rdio.com/artist/Down_To_Earth/album/Prisms/,True
Fresh & Onlys,Grey-Eyed Girls,1,,False,,False
Woodhands,Remorsecapade (Dig),1,,False,,False
Nick Curran and the Lowlifes,Reform School Girl,1,,False,http://rdio.com/artist/Nick_Curran_and_the_Lowlifes/album/Reform_School_Girl/,True
Therion,Sitra Ahra,1,spotify:album:6ChTeeRCUq6VfHZkIuS6ps,True,http://rdio.com/artist/Therion/album/Sitra_Ahra/,True
Connan Mokasin,Please Turn Me Into The Snat,1,,False,,False
A Place To Bury Strangers,A Place To Bury Strangers,1,spotify:album:60SwnTRklbIrA3YmPgIJYg,False,http://rdio.com/artist/A_Place_to_Bury_Strangers/album/A_Place_To_Bury_Strangers/,False
Desire,II,1,spotify:album:5JcUZTD39iFzt0TVhYTGWF,True,,False
The Field,Yesterday & Today,1,,False,,False
The Felice Brothers,Tonight at the Arizona,1,,False,,False
Royal Treatment Plant,Hope Is Not Enough,1,spotify:album:1WH064vp3uhZC89GsC8PO4,False,,False
xx,xx,1,,False,,False
Bluetech,Phoenix Rising,1,,False,http://rdio.com/artist/Deep_Purple/album/Phoenix_Rising/,True
Blume,Rise from Grey,1,,False,,False
